Date,Handler,Individual,Time,Approach,Bag on trap,Door opened,Bag before handle ,Bag during handle ,Vocalise ,Heavy breathing ,Trap damage ,Joey ejected ,Notes 
3/09/2021,Handler_B,3A32,21.24,0,L,0,0,0,N,N,N,N,
3/09/2021,Handler_B,47FD,23.11,H,H,H,H,H,N,N,N,NA,
3/09/2021,Handler_B,55C8,22.48,0,M,M,0,0,N,N,N,N,
3/09/2021,Handler_B,5F36,1.3,L,L,0,0,0,N,N,N,NA,
3/09/2021,Handler_B,AFD5,22.28,0,L,L,0,0,N,N,N,N,
3/09/2021,Handler_B,CFFB,12.5,0,0,0,0,0,N,N,N,NA,
3/09/2021,Handler_B,DOA4,21.46,M,M,M,L,0,N,N,N,N,
3/09/2021,Handler_B,SFC9,1.16,0,0,0,0,0,N,N,N,N,
4/09/2021,Handler_B,3A32,23.17,0,0,0,0,0,N,N,N,N,
4/09/2021,Handler_B,5FC9,23.26,0,0,0,0,0,N,N,N,NA,
5/09/2021,Handler_B,47FD,22.31,H,H,M,H,L,Y,Y,N,NA,
5/09/2021,Handler_B,4FD5,23.06,M,L,M,0,0,Y,N,N,N,
5/09/2021,Handler_B,53DD,22.55,M,L,L,0,0,N,N,N,N,
5/09/2021,Handler_B,55C8,21.24,L,L,L,L,L,Y,N,N,N,
5/09/2021,Handler_B,5F36,21.16,0,L,0,0,0,N,N,Y,NA,REFUSED TO LEAVE TRAP
5/09/2021,Handler_B,CAC9,22.35,H,M,M,L,M,N,N,N,NA,
5/09/2021,Handler_B,CCB5,22.2,L,L,L,L,0,Y,N,N,N,
5/09/2021,Handler_B,CE77,21.45,L,M,L,M,M,Y,N,N,NA,
6/09/2021,Handler_B,3A32,9.03,0,0,0,L,0,N,N,N,N,
6/09/2021,Handler_B,5FC9,9.09,0,0,0,0,M,N,N,Y,NA,
4/11/2021,Handler_B,5327,NA,0,L,0,0,0,N,N,N,N,
4/11/2021,Handler_B,6300,NA,0,0,0,0,0,N,N,N,NA,
4/11/2021,Handler_B,3A32,NA,0,0,0,0,0,N,N,N,N,
4/11/2021,Handler_B,3C56,NA,L,M,H,L,L,N,N,Y,N,
4/11/2021,Handler_B,403C,NA,0,0,0,0,0,N,N,N,NA,
4/11/2021,Handler_B,4F72,NA,L,L,0,0,0,N,N,N,N,
4/11/2021,Handler_B,D093,NA,0,L,L,0,0,N,N,N,N,
4/11/2021,Handler_B,NA,NA,0,0,0,L,0,N,N,N,N,
5/11/2021,Handler_B,4C18,NA,0,L ,L,M,M,N,N,N,N,
5/11/2021,Handler_B,CAC9,NA,0,0,0,M,L,N,N,N,NA,
5/11/2021,Handler_B,CCB5,NA,M,M,L,L,M,N,N,N,N,
9/11/2021,Handler_D,DL3339_DL3338,5.58,0,L,0,L,L,N,N,N,Y,
9/11/2021,Handler_E,DL3345_DL3346,7.46,0,M,M,L,L,N,N,Y,NA,
9/11/2021,Handler_E,DL3347_DL3348,9.01,0,M,L,L,L,N,Y,N,NA,
9/11/2021,Handler_D,DL3350_DL3349,7.23,0,L,L,M,M,Y,Y,Y,NA,
9/11/2021,Handler_E,DN9496_DN9497,8.05,M,M,L,L,M,Y,Y,N,NA,
10/11/2021,Handler_E,DL1651_DL1652,6,M,M,L,L,L,N,Y,Y,N,
10/11/2021,Handler_E,DL1653_DL1654,6.27,0,L,L,L,L,Y,Y,Y,N,
10/11/2021,Handler_D,DL1655_DL1656,6.52,0,L,L,0,M,N,Y,Y,NA,
10/11/2021,Handler_D,DL1659_DL1660,7.26,0,M,M,L,L,Y,Y,N,NA,
10/11/2021,Handler_D,DL1661_DL1662,7.38,0,L,L,L,H,N,Y,N,NA,
10/11/2021,Handler_E,DL1663_DL1664,8.16,M,L,M,L,M,Y,Y,Y,N,
10/11/2021,Handler_E,DL1665_DL1666,8.36,0,M,L,L,M,N,Y,N,NA,
10/11/2021,Handler_D,DL1669_DL1670,8.59,0,L,L,L,L,Y,N,N,NA,
10/11/2021,Handler_D,DL1671_DL1672,9.03,L,M,M,L,0,N,N,N,NA,
10/11/2021,Handler_D,DL1674_DL1675,8.02,L,M,L,L,L,N,Y,Y,N,
10/11/2021,Handler_D,DL1680_DL1681,9.36,0,0,L,L,L,N,N,N,NA,
10/11/2021,Handler_D,DL1682_DL1683,9.4,0,0,0,L,L,N,N,Y,NA,
10/11/2021,Handler_D,DL1684_DL1685,9.48,0,M,M,L,L,Y,Y,Y,NA,
10/11/2021,Handler_D,DL1686_DL1687,9.56,0,M,L,L,M,Y,Y,N,N,
10/11/2021,Handler_E,DL1688_DL1689,10.18,0,L,M,M,L,N,N,N,NA,
10/11/2021,Handler_D,DL3347_DL3348,10.13,0,L,L,L,L,N,N,N,NA,
10/11/2021,Handler_D,DL3350_DL3349,7.54,0,L,L,L,L,Y,Y,Y,NA,
11/11/2021,Handler_E,DL1661_DL1662,8.3,L,L,M,H,L,N,Y,N,NA,
11/11/2021,Handler_E,DL1684_DL1685,6.3,L,M,L,L,L,N,Y,Y,NA,
11/11/2021,Handler_E,DL1690_DL1691,5.12,0,M,M,L,M,Y,Y,N,N,
11/11/2021,Handler_E,DL1692_DL1693,5.28,0,L,M,L,L,Y,Y,N,N,
11/11/2021,Handler_E,DL1694_DL1695,5.42,0,L,M,M,L,Y,Y,N,N,
11/11/2021,Handler_E,DL1696_DL1697,5.49,0,L,M,L,L,Y,Y,N,NA,
11/11/2021,Handler_E,DL1698_DL1699,6.05,L,M,M,L,M,Y,Y,N,NA,
11/11/2021,Handler_C,DL3345_DL3346,7.39,L,L,L,L,L,N,N,N,NA,
11/11/2021,Handler_E,DL3350_DL3349,8.46,L,L,L,L,L,Y,Y,Y,N,
11/11/2021,Handler_C,DL3378_DL3379,6.51,L,H,H,L,M,Y,Y,Y,N,
11/11/2021,Handler_C,DL3380_DL3381,7.01,0,L,L,L,L,Y,Y,N,N,
11/11/2021,Handler_C,DL3384_DL3385,7.24,0,L,L,L,0,N,N,Y,NA,
11/11/2021,Handler_C,DL3386_DL3387,7.32,0,M,L,L,L,Y,N,Y,N,
11/11/2021,Handler_C,DL3388_DL3389,7.48,0,L,L,L,M,N,Y,N,Y,
11/11/2021,Handler_E,DL3390_DL3391,8.4,0,L,M,L,L,Y,Y,N,NA,
11/11/2021,Handler_E,DL3392_DL3393,8.52,L,L,M,M,M,Y,Y,N,NA,
12/11/2021,Handler_E,DL1684_DL1685,7,M,M,L,L,L,N,N,Y,N,
12/11/2021,Handler_E,DL1686_DL1687,6.48,M,M,M,L,L,N,Y,Y,N,
12/11/2021,Handler_E,DL1692_DL1693,5.38,M,M,L,L,L,N,N,N,N,
12/11/2021,Handler_E,DL3384_DL3385,8.13,L,L,L,L,L,N,N,N,N,
12/11/2021,Handler_E,DL6570_DL6571,7.09,L,L,L,L,L,N,N,Y,N,
12/11/2021,Handler_E,DL6572_DL6573,6.2,L,M,L,L,L,Y,Y,N,Y,
12/11/2021,Handler_E,DL6574_DL6575,5.56,L,M,M,L,L,N,Y,Y,N,
12/11/2021,Handler_A,DL6576_DL6577,5.23,L,M,M,L,L,N,N,N,NA,
12/11/2021,Handler_E,DN9496_DN9497,8.19,H,H,M,L,L,Y,Y,Y,NA,
